PROB_PROSPECT,PROB_ASSINANTE,PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PES_GENERO,ATR_PF_GEO_RENDA_FAM,IDADE
1.4166951,98.583305,True,0,56,171,266,False,False,4,58.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.91619,0.083809085,False,0,5,4,0,False,True,4,46.0
0.4513085,99.54869,True,0,0,0,0,False,False,4,57.0
0.58885217,99.41115,True,20,48,324,126,True,False,5,62.0
99.14462,0.8553828,False,16,15,0,48,True,False,2,46.0
99.74238,0.25762156,False,0,60,487,2,False,False,2,33.0
99.89629,0.10370372,False,0,3,3,0,False,True,4,26.0
99.86824,0.13175388,False,0,17,24,0,False,False,2,36.0
1.4067769,98.59322,True,11,16,10,0,False,False,3,51.0
0.18380284,99.8162,True,0,0,0,0,False,True,3,29.0
99.98535,0.014649301,False,10,43,0,411,True,True,5,41.0
99.86163,0.13836892,False,0,59,197,462,True,False,2,40.0
0.20159483,99.79841,True,0,0,0,0,False,True,4,46.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
79.68315,20.316849,False,45,17,10,0,False,False,2,43.0
0.17697215,99.82303,True,0,0,0,0,False,False,3,32.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.499306,0.5006922,False,0,1,1,0,False,False,2,44.0
0.7327378,99.267265,True,5,3,1,7,True,True,6,40.0
98.85347,1.1465317,False,42,60,0,325,True,False,2,32.0
0.3719747,99.62803,True,9,0,0,0,False,False,3,55.0
95.49859,4.5014076,False,0,1,0,1,False,True,3,36.0
0.20941496,99.79059,True,0,0,0,0,False,True,4,34.0
99.9645,0.035500802,False,0,1,1,0,False,True,4,63.0
51.346077,48.653923,False,18,20,3,34,True,False,4,37.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,46.0
92.60459,7.3954096,False,30,13,0,102,True,False,2,40.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
99.734764,0.26523203,False,0,56,148,245,False,False,3,46.0
99.60631,0.39369422,False,0,1,0,0,False,True,3,24.0
99.91049,0.08950714,False,0,13,20,0,False,False,4,37.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
99.2694,0.7305976,False,3,5,9,0,False,False,6,41.0
0.85166097,99.14834,True,0,16,5,84,True,False,5,39.0
99.96744,0.032560527,False,0,4,4,0,False,True,3,31.0
99.75818,0.2418201,False,0,2,0,6,True,False,2,50.0
0.26646256,99.733536,True,0,0,0,0,False,True,2,37.0
99.828384,0.17161301,False,36,19,0,147,True,False,3,73.0
99.77818,0.2218164,False,0,1,1,0,False,False,3,59.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
0.23238063,99.76762,True,0,0,0,0,False,False,5,78.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,45.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,31.0
0.85166097,99.14834,True,0,16,5,84,True,False,5,39.0
99.993706,0.0062948777,False,0,3,2,0,False,True,4,69.0
1.4067769,98.59322,True,11,16,10,0,False,False,3,51.0
0.97967386,99.020325,True,1,6,3,7,False,False,2,54.0
99.77734,0.22265191,False,0,13,2,0,False,False,5,32.0
99.394424,0.6055757,False,8,23,10,41,True,False,4,29.0
0.3719747,99.62803,True,9,0,0,0,False,False,3,55.0
1.4166951,98.583305,True,0,56,171,266,False,False,4,58.0
99.88688,0.11311883,False,4,12,17,0,False,True,4,41.0
0.26646256,99.733536,True,0,0,0,0,False,True,2,37.0
99.6952,0.30480003,False,0,4,4,0,False,False,3,45.0
99.97809,0.021912467,False,0,28,68,149,True,True,5,61.0
0.85166097,99.14834,True,0,16,5,84,True,False,5,39.0
0.81771016,99.18229,True,44,33,10,151,True,False,2,45.0
0.5083442,99.49165,True,9,58,191,3,False,True,4,33.0
0.3575623,99.64244,True,1,1,0,9,True,False,3,44.0
79.092255,20.907743,False,18,7,0,19,True,False,2,74.0
66.33208,33.667923,False,18,5,0,26,True,False,5,39.0
0.58885217,99.41115,True,20,48,324,126,True,False,5,62.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,31.0
99.408,0.59199744,False,0,1,0,2,True,False,3,43.0
0.50626993,99.49373,True,6,51,177,0,False,False,4,36.0
99.932106,0.0678952,False,0,2,0,0,False,False,2,37.0
99.806305,0.19369261,False,0,5,5,0,False,False,4,31.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
0.17697215,99.82303,True,0,0,0,0,False,False,3,32.0
99.93402,0.065977335,False,0,26,6,37,False,False,3,42.0
0.5130172,99.486984,True,18,22,0,84,True,False,2,37.0
1.3347745,98.66522,True,3,4,3,0,False,False,2,45.0
1.1651039,98.8349,True,1,1,1,1,False,False,2,51.0
97.601,2.3990037,False,4,6,6,7,False,True,5,40.0
62.796497,37.2035,False,0,1,2,0,False,False,4,50.0
99.94327,0.056733325,False,0,10,10,0,False,True,4,50.0
99.82966,0.17033637,False,0,1,1,0,False,True,3,31.0
99.83595,0.16404736,False,0,1,0,0,False,True,3,49.0
92.80083,7.199176,False,2,14,4,2,False,False,4,36.0
0.66334605,99.336655,True,0,0,0,0,False,False,3,63.0
2.1948814,97.805115,True,2,6,0,24,True,False,2,38.0
87.4908,12.509206,False,10,8,10,0,False,False,1,46.0
0.30840635,99.6916,True,53,60,289,495,True,False,2,54.0
93.65556,6.34444,False,15,25,13,0,False,False,4,36.0
0.7327378,99.267265,True,5,3,1,7,True,True,6,40.0
99.36813,0.6318602,False,46,40,0,172,True,False,3,62.0
1.1023343,98.89767,True,8,2,0,6,True,True,3,54.0
99.98536,0.014639499,False,0,25,0,0,False,False,2,68.0
0.16396642,99.83604,True,0,0,0,0,False,False,2,36.0
0.45235753,99.547646,True,92,38,27,8,True,False,2,54.0
92.02771,7.9722853,False,0,1,2,0,False,False,3,73.0
98.515495,1.4845039,False,10,2,0,3,True,True,2,36.0
99.78297,0.21703102,False,22,21,16,0,False,False,4,60.0
0.7327378,99.267265,True,5,3,1,7,True,True,6,40.0
99.50078,0.49922386,False,16,38,0,358,True,False,3,54.0
1.4067769,98.59322,True,11,16,10,0,False,False,3,51.0
0.58885217,99.41115,True,20,48,324,126,True,False,5,62.0
99.9918,0.008201485,False,0,31,8,0,False,True,3,35.0
99.68816,0.31183195,False,0,2,2,0,False,False,4,28.0
99.92584,0.07415384,False,0,58,301,45,True,False,5,35.0
99.96989,0.030109653,False,0,4,2,0,False,True,3,52.0
0.36676526,99.63323,True,1,1,0,12,True,False,5,29.0
99.868065,0.13193281,False,10,19,24,0,False,False,3,35.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
0.50263405,99.49737,True,20,58,286,0,False,True,2,49.0
99.56394,0.43605784,False,11,23,46,0,False,False,2,30.0
0.30840635,99.6916,True,53,60,289,495,True,False,2,54.0
0.20444393,99.795555,True,0,0,0,0,False,True,3,44.0
0.45235753,99.547646,True,92,38,27,8,True,False,2,54.0
98.66814,1.331866,False,0,60,580,710,True,True,4,76.0
99.85521,0.14478864,False,0,1,1,0,False,True,4,45.0
1.9610107,98.03899,True,88,22,11,2,False,False,4,38.0
0.16396642,99.83604,True,0,0,0,0,False,False,2,36.0
99.961266,0.03872917,False,0,2,2,0,False,True,3,27.0
0.17697215,99.82303,True,0,0,0,0,False,False,3,32.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
0.31557083,99.68443,True,0,0,0,0,False,False,2,32.0
0.8388579,99.16114,True,0,12,6,15,False,False,1,55.0
0.50263405,99.49737,True,20,58,286,0,False,True,2,49.0
1.3347745,98.66522,True,3,4,3,0,False,False,2,45.0
99.71353,0.28646663,False,6,8,6,1,False,False,2,24.0
99.84999,0.15000662,False,8,35,19,45,False,False,0,40.0
0.21550655,99.78449,True,0,0,0,0,False,True,3,40.0
0.81771016,99.18229,True,44,33,10,151,True,False,2,45.0
46.768234,53.231766,False,6,3,0,20,True,False,3,47.0
95.240654,4.7593455,False,1,60,662,985,True,False,3,73.0
0.20159483,99.79841,True,0,0,0,0,False,True,4,46.0
99.96665,0.033347648,False,0,21,25,0,False,True,4,34.0
1.3347745,98.66522,True,3,4,3,0,False,False,2,45.0
99.90365,0.09635358,False,0,10,15,0,False,True,3,36.0
0.14562607,99.85437,True,0,0,0,0,False,False,3,45.0
0.5083442,99.49165,True,9,58,191,3,False,True,4,33.0
99.94372,0.056284726,False,0,2,1,0,False,False,3,77.0
99.88876,0.11124135,False,0,2,0,1,False,True,4,56.0
99.86122,0.13877803,False,2,13,16,0,False,True,4,36.0
99.97133,0.028666953,False,0,2,3,0,False,True,3,33.0
1.1651039,98.8349,True,1,1,1,1,False,False,2,51.0
98.56663,1.4333743,False,8,1,0,4,True,True,2,36.0
99.89756,0.10244211,False,12,10,7,0,False,False,4,44.0
99.93323,0.06677185,False,123,47,0,383,True,True,2,41.0
99.94635,0.053649932,False,0,38,58,0,False,False,1,47.0
0.23238063,99.76762,True,0,0,0,0,False,False,5,78.0
89.53289,10.467111,False,0,60,748,1244,True,False,6,70.0
1.9610107,98.03899,True,88,22,11,2,False,False,4,38.0
0.3440082,99.65599,True,0,0,0,0,False,False,4,42.0
0.66334605,99.336655,True,0,0,0,0,False,False,3,63.0
